iter	Passed	Remaining
0	15	128510
1	30	124891
2	40	110343
3	50	102425
4	59	97040
5	68	93056
6	77	90838
7	86	88254
8	93	85110
9	101	82801
10	108	81008
11	118	80674
12	126	79287
13	133	77942
14	143	77972
15	151	77355
16	160	77078
17	167	76103
18	174	75260
19	182	74594
20	190	74024
21	198	73593
22	205	73131
23	214	72868
24	222	72641
25	230	72405
26	239	72327
27	247	72167
28	256	72149
29	265	72361
30	276	72866
31	287	73311
32	298	73861
33	307	73828
34	317	74044
35	327	74176
36	337	74345
37	346	74333
38	356	74453
39	365	74576
40	375	74644
41	385	74737
42	395	75016
43	405	75158
44	416	75353
45	426	75439
46	435	75488
47	445	75530
48	455	75635
49	465	75849
50	476	76095
51	487	76281
52	497	76428
53	506	76279
54	516	76428
55	527	76645
56	539	77034
57	550	77191
58	563	77703
59	575	78036
60	589	78540
61	603	79118
62	620	80029
63	635	80671
64	649	81229
65	666	82068
66	682	82736
67	697	83358
68	712	83879
69	726	84350
70	741	84818
71	756	85269
72	771	85841
73	787	86339
74	802	86893
75	817	87260
76	834	87942
77	848	88308
78	864	88816
79	871	88411
80	886	88725
81	901	89143
82	915	89411
83	929	89754
84	945	90175
85	958	90344
86	973	90702
87	987	90914
88	1002	91300
89	1018	91709
90	1035	92163
91	1049	92392
92	1063	92624
93	1079	92968
94	1098	93607
95	1112	93855
96	1128	94147
97	1143	94438
98	1159	94800
99	1174	95026
100	1189	95299
101	1205	95573
102	1219	95795
103	1236	96192
104	1250	96327
105	1265	96504
106	1280	96718
107	1294	96907
108	1308	97036
109	1322	97197
110	1338	97449
111	1353	97621
112	1367	97803
113	1381	97889
114	1394	97950
115	1407	98016
116	1421	98105
117	1434	98144
118	1448	98271
119	1462	98365
120	1475	98446
121	1490	98605
122	1505	98751
123	1521	99011
124	1535	99115
125	1549	99187
126	1565	99389
127	1580	99552
128	1593	99577
129	1606	99656
130	1622	99856
131	1635	99885
132	1649	99955
133	1663	100023
134	1676	100076
135	1691	100208
136	1705	100269
137	1719	100352
138	1732	100371
139	1746	100420
140	1760	100507
141	1774	100602
142	1788	100678
143	1801	100675
144	1816	100802
145	1829	100821
146	1842	100818
147	1856	100882
148	1869	100934
149	1884	101018
150	1896	100982
151	1909	101021
152	1922	101025
153	1935	101044
154	1950	101117
155	1963	101151
156	1977	101203
157	1991	101245
158	2003	101237
159	2016	101236
160	2031	101348
161	2045	101372
162	2058	101414
163	2074	101542
164	2088	101624
165	2103	101680
166	2117	101731
167	2132	101862
168	2146	101880
169	2160	101968
170	2173	101954
171	2187	102004
172	2201	102043
173	2215	102102
174	2230	102169
175	2243	102195
176	2257	102225
177	2272	102297
178	2284	102274
179	2298	102302
180	2311	102315
181	2325	102355
182	2338	102356
183	2353	102409
184	2366	102443
185	2380	102472
186	2394	102503
187	2407	102504
188	2421	102515
189	2435	102564
190	2449	102627
191	2463	102654
192	2477	102684
193	2491	102704
194	2506	102783
195	2519	102784
196	2532	102776
197	2548	102880
198	2562	102943
199	2576	102955
200	2590	103007
201	2605	103055
202	2619	103089
203	2633	103123
204	2648	103177
205	2660	103156
206	2674	103162
207	2687	103174
208	2701	103199
209	2716	103242
210	2729	103245
211	2743	103259
212	2756	103274
213	2771	103323
214	2787	103419
215	2803	103519
216	2818	103588
217	2832	103597
218	2845	103608
219	2859	103625
220	2873	103634
221	2888	103708
222	2902	103721
223	2917	103764
224	2931	103808
225	2945	103811
226	2959	103855
227	2974	103902
228	2988	103932
229	3003	103958
230	3018	104019
231	3032	104033
232	3047	104095
233	3062	104135
234	3074	104115
